company,title,link,location,experience,education,employment_type,deadline,sector,salary,created_at,views,tech_stack
티케이지태광(주),[경력/신입] TKG태광 샘플개발팀 기능직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49564725&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경남 김해시,경력무관,고졸↑,정규직,~ 12/24(화),"['미싱사', '재단사', '절단가공', '제조가공', '레이저가공 외']","9,860 원",등록일 24/12/10,0,[]
에빈코리아(유),경영지원/뷰티상품기획개발/구매개발/해외온라인 아마존MD/영상콘텐츠작가/온라인마케팅/영상제작PD(연출),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49496923&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 강남구,신입·경력,학력무관,정규직·인턴직,~ 12/15(일),"['개발구매', '기획', '영업', '사업기획', '사업관리 외']",,수정일 24/12/01,0,[]
(주)하이업엔터테인먼트,[하이업엔터테인먼트] 신인개발팀 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49564143&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 마포구,경력무관,학력무관,정규직,채용시,"['인재발굴', '커뮤니티매니저', '기획MD', '브랜드기획', '프로모션기획 외']",,수정일 24/12/10,0,[]
보로노이(주),[보로노이] 신약개발연구소  바이오 연구원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49565617&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,인천 연수구,신입·경력,석사↑,정규직,채용시,"['R&D', '연구원', '생명과학', '제약/바이오', '세포배양 외']",,수정일 24/12/11,0,[]
(주)셀티움,신경질환 신약개발 연구원 채용 공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492964&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 수원시 영통구,경력무관,석사↑,정규직,채용시,"['R&D', '임상개발', 'R&D기획', '연구원', '학술연구 외']",,수정일 24/11/29,0,[]
한국알박(주),"PC, PLC Software설계 개발자 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49556238&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 평택시,신입·경력,대졸↑,정규직,~ 01/11(토),"['S/W', 'H/W', 'H/W 외']",,등록일 24/12/09,0,"['C++', 'C#']"
현대오토에버(주),[광주] MES시스템 개발/운영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333801&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,광주전체,경력3년↑,학력무관,정규직,상시채용,"['품질관리', '생산', 'HTML5', 'API 외']",,수정일 24/11/05,0,['Java']
(주)제이오텍,(주)제이오텍 연구개발 부문 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49506074&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,대전 유성구,신입·경력,대졸↑,정규직·계약직,~ 12/15(일),"['기구설계', 'R&D', '회로설계', '기획', '연구원 외']",,수정일 24/12/02,0,[]
(주)드림텍,(주)드림텍 2024년 4분기 연구·개발부문 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49517493&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,충남 아산시,경력,대졸↑,정규직,~ 12/15(일),"['기구설계', '회로설계', '연구원', 'AutoCAD', '외']",,수정일 24/12/04,0,['C++']
유비벨록스(주),2024년도 분야별 인원모집 (서버개발/시설관리),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49559348&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 구로구,신입·경력,고졸↑,정규직,~ 12/31(화),"['SI개발', '백엔드/서버개발', '유지보수', 'script 외']",,수정일 24/12/10,0,['Java']
에스케이쉴더스(주),[SK쉴더스] 시스템 개발/운영 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49563126&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 이천시,경력3년↑,초대졸↑,정규직,~ 12/17(화),"['앱개발', '웹개발', '백엔드/서버개발', '프론트엔드 외']",,수정일 24/12/10,0,['Java']
(주)우리기술,원자력 HW개발/SW개발/철도사업엔지니어/구매생산 분야 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49523729&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 마포구,신입·경력,대졸↑,정규직,~ 12/31(화),"['앱개발', 'SI개발', '백엔드/서버개발', 'CAD', '외']",,수정일 24/12/11,0,['Java']
(주)세경하이테크,R&D 연구개발 인재 모집 (BIZ 영어회화 가능자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49387447&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 수원시 권선구,경력,대졸↑,정규직,내일마감,"['부품설계', '제품설계', '기구설계', 'R&D', '알고리즘개발 외']",,수정일 24/11/19,0,[]
(주)더존비즈온,종합병원 EMR 개발 /기획(부산) 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49392676&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,부산 해운대구,경력,학력무관,정규직,~ 12/22(일),"['앱개발', '웹개발', '백엔드/서버개발', '기획', '외']",,수정일 24/12/03,0,['Java']
인스피언(주),[신입/경력]커넥트 서비스(EDI SaaS) 개발자 및 운영자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568180&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 금천구,신입·경력,대졸↑,정규직,~ 02/09(일),"['SI개발', '백엔드/서버개발', 'SaaS', '소프트웨어개발']",,등록일 24/12/11,0,[]
㈜모니터랩,[코스닥상장] 웹사이트 Front-end 개발(프론트엔드),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49565048&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 구로구,경력무관,학력무관,정규직,~ 01/09(목),"['웹개발', '퍼블리셔', '프론트엔드', '유지보수 외']",,수정일 24/12/11,0,['Java']
대영유비텍(주),"[기술연구소] 2025년 상반기 인재채용(사업관리, S/W개발분야)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49566878&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기 성남시 수정구,신입·경력,대졸↑,정규직,채용시,"['SI개발', '백엔드/서버개발', 'script', '외']",,등록일 24/12/11,0,"['Java', 'Spring']"
(주)바텍,[바텍] 인프라(시스템 엔지니어) 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49569044&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,경기전체,신입·경력,대졸↑,정규직,~ 01/13(월),"['웹개발', '백엔드/서버개발', '유지보수', 'SE(시스템엔지니어) 외']",,수정일 24/12/12,0,['AWS']
(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458119&location=ts&searchword=%EA%B0%9C%EB%B0%9C&searchType=search&paid_fl=n&search_uuid=ef460644-300e-4615-89cb-26a354031a8a,서울 금천구,신입·경력,초대졸↑,정규직,~ 12/31(화),"['백엔드/서버개발', '프론트엔드', '솔루션 외']",,수정일 24/11/25,0,"['Java', 'C++']"
